CALENDAR_ID,CALENDAR_NAME,EVENT TITLE,START DATE,END DATE,START TIME,END TIME,DURATION,CONTINUOUS,TRAINER,MULTIPLE TRAINERS,LOCATION,ADDITIONAL INFO TO DISPLAY AS NOTES,,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,6/1/2022,6/1/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,13/1/2022,13/1/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,20/1/2022,20/1/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,27/1/2022,27/1/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,3/2/2022,3/2/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - DVST,10/2/2022,10/2/2022,6:00 PM,10:30 PM,4:30,0,Wee San LOW (NP),,"Taught by Wee San, 6pm-10.30pm","PDC1, Data Visualisation and Storytelling, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,18/10/2021,18/10/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,25/10/2021,25/10/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,1/11/2021,1/11/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
1,FQ,SDDA Oct Semester 2021 - PFA,8/11/2021,8/11/2021,6:00 PM,10:30 PM,4:30,0,"Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Pamela LOY-SIOW (NP) , Joey CHEW (NP)","Taught by Pamela (ML) and Joey, 6pm-10.30pm - 2 classes","PDC1, Programming for Analytics, 18 Oct 2021 - 27 Feb 2022",,,,,,,,,,,,,,,,
